,region,day_of_week,hour,pred_demand,actual_demand,start_lat,start_lng
190,1,Monday,22,277.5574555210841,107.0,59.40199205401986,24.646667625324188
622,4,Monday,22,248.36075163666456,113.0,59.424343282113334,24.802136883226975
621,4,Monday,21,246.81444270812312,118.0,59.42510440431129,24.800847112783185
620,4,Monday,20,245.4087832272406,94.0,59.42597605655687,24.80667302805387
619,4,Monday,19,242.67675912497356,72.0,59.423997513874305,24.799488191583183
618,4,Monday,18,228.83197585148767,91.0,59.425326024610705,24.79983099103306
617,4,Monday,17,240.33252077196664,115.0,59.42611989828724,24.80003218769723
616,4,Monday,16,238.25701061775385,168.0,59.42541572780861,24.80143059936581
615,4,Monday,15,227.5744376478384,164.0,59.42433925745416,24.80200541230168
614,4,Monday,14,235.10137283358037,172.0,59.42630003716556,24.800805489715327
613,4,Monday,13,233.2110500860138,141.0,59.425887895009396,24.801001554590435
612,4,Monday,12,231.76851407043685,118.0,59.42692571859262,24.798969136727735
611,4,Monday,11,228.27265210896917,74.0,59.422903928395044,24.80151197751035
610,4,Monday,10,227.40996883301122,93.0,59.42494241255901,24.804565360462803
609,4,Monday,9,226.7758492090638,67.0,59.42762683333955,24.801147450447097
608,4,Monday,8,213.04888573642663,116.0,59.427146431675055,24.799413106189235
607,4,Monday,7,224.53155807704758,145.0,59.43018663322812,24.800676455016955
606,4,Monday,6,220.4827552288375,125.0,59.42508931781645,24.801815607305585
605,4,Monday,5,220.08383695136195,81.0,59.42787095568623,24.800660263833336
604,4,Monday,4,218.19470874618983,55.0,59.42806246565064,24.802183511415883
603,4,Monday,3,216.44061902736397,43.0,59.42791631735894,24.802472078758193
602,4,Monday,2,214.56739874713224,30.0,59.4276642487447,24.803724718103854
623,4,Monday,23,251.7145271503258,58.0,59.42826829643137,24.795495678553582
191,1,Monday,23,278.9374352840037,74.0,59.401387126524995,24.64685766224024
468,3,Monday,12,267.01939538871363,82.0,59.465903518761266,24.856207824156584
174,1,Monday,6,250.5464845259127,146.0,59.4046153554888,24.64733981639538
168,1,Monday,0,238.64899711964614,61.0,59.40152360128846,24.65070320758393
169,1,Monday,1,239.26594326650508,49.0,59.401844333529,24.63253048078729
170,1,Monday,2,242.2953800343045,42.0,59.401997185525694,24.650855940068624
171,1,Monday,3,243.5923888579875,25.0,59.40123172125709,24.647282026942367
172,1,Monday,4,243.7332748871893,46.0,59.397463521851606,24.65038149621989
173,1,Monday,5,247.8526770992627,111.0,59.40331716858794,24.64334645841372
